Astronaut ,Selection Year, Group, # Flights ,Status ,Military or civilian,Gender,If military include details,Date of birth,Job,Missions flown,Cumulative hours of space flight time
"Carpenter, M. Scott ",1959,1,1,Former ,Military,Male,"Commander, US Navy (Retired)",5/1/25,,Mercury 7,4
"Williams, Clifton C., Jr.",1963,3,0,Deceased ,Military,Male,"Major, US Marine Corps",9/26/32,,,0
"Worden, Alfred M.",1966,5,1,Former ,Military,Male,"Colonel, US Air Force",2/7/32,,Apollo 15,295
"Williams, Donald E.",1978,8,2,Former ,Military,Male,"Captain, US Navy",2/13/42,,STS 51-D and STS-34,287
"Wilcutt, Terrence W.",1990,13,4,Current ,Military,Male,"Colonel, US Marine Corps (Retired)",10/31/49,Pilot,"STS-68, STS-79, STS-89 and STS-106",1007
"Wisoff, Peter J. K.",1990,13,4,Former ,Civilian,Male,,8/16/58,,"STS-57, STS-68, STS-81 and STS-92",1063
"Wolf, David A.",1990,13,3,Current ,Civilian,Male,,8/23/56,Mission Specialist,"STS-58, NASA-MIR 6 and STS-112",3432
"Whitson, Peggy A.",1996,16,2,Management,Civilian,Female,,2/9/60,,STS-111/Exp 5/STS-113 and Soyuz TMA-11,9048
"Williams, Jeffrey N.",1996,16,3,Current ,Military,Male,"Colonel, US Army",1/18/58,Mission Specialist,"STS-101, Exp 13 and Soyuz TMA-16",8688
"Wilson, Stephanie D.",1996,16,3,Current ,Civilian,Female,,9/27/66,Mission Specialist,"STS-121, STS-120 and STS-131",1008
"Williams, Sunita L.",1998,17,1,Current ,Military,Female,"Commander, US Navy",9/19/65,Mission Specialist,STS-116,4680
"Woodward, Neil W., III",1998,17,0,Former,Military,Male,"Commander, US Navy",7/26/62,Mission Specialist,,0
"Wilmore, Barry E.",2000,18,1,Current ,Military,Male,"Commander, US Navy",12/29/62,Pilot,STS-129,259
"Aunon, Serena M.",2009,20,0,Current ,Civilian,Female,,4/9/76,,,0
"Epps, Jeanette J.",2009,20,0,Candidate ,Civilian,Female,,11/2/70,,,0
"Fischer, Jack D.",2009,20,0,Candidate ,Military,Male,US Air Force,1/23/74,,,0
"Hansen, Jeremy",2009,20,0,Candidate ,,Male,,1/27/76,,,0
"Hopkins, Michael S.",2009,20,0,Candidate ,Military,Male,2nd Lieutenant US Air Force,12/28/68,,,0
"Kanai, Norishige",2009,20,0,Candidate ,Civilian,Male,,1976,,,0
"Lindgren, Kjell N.",2009,20,0,Candidate ,Military,Male,US Air Force,1/23/73,,,0
"Onishi, Tayuka",2009,20,0,Candidate ,Civilian,Male,,1975,,,0
